Date_nifty_50,Open_nifty_50,High_nifty_50,Volume_nifty_50,Low_nifty_50,Close_nifty_50,Adj Close_nifty_50,oil_price.Close_crude_oil_price
1/2/2018,10477.54981,10495.2002,153400,10404.65039,10442.2002,10442.2002,60.37
1/3/2018,10482.65039,10503.59961,167300,10429.54981,10443.2002,10443.2002,61.63
1/4/2018,10469.40039,10513,174900,10441.4502,10504.79981,10504.79981,62.01
1/5/2018,10534.25,10566.09961,180900,10520.09961,10558.84961,10558.84961,61.44
1/8/2018,10591.7002,10631.2002,169000,10588.54981,10623.59961,10623.59961,61.73
1/9/2018,10645.09961,10659.15039,205000,10603.59961,10637,10637,62.96
1/10/2018,10652.04981,10655.5,176400,10592.7002,10632.2002,10632.2002,63.57
1/11/2018,10637.04981,10664.59961,153800,10612.34961,10651.2002,10651.2002,63.8
1/12/2018,10682.54981,10690.40039,175200,10597.09961,10681.25,10681.25,64.3
1/16/2018,10761.5,10762.34961,211000,10687.84961,10700.4502,10700.4502,63.73
1/17/2018,10702.4502,10803,252700,10666.75,10788.54981,10788.54981,63.97
1/18/2018,10873.40039,10887.5,312000,10782.40039,10817,10817,63.95
1/19/2018,10829.2002,10906.84961,207600,10793.90039,10894.7002,10894.7002,63.37
1/22/2018,10883.2002,10975.09961,231600,10881.40039,10966.2002,10966.2002,63.49
1/23/2018,10997.40039,11092.90039,284600,10994.54981,11083.7002,11083.7002,64.47
1/24/2018,11069.34961,11110.09961,283400,11046.15039,11086,11086,65.61
1/25/2018,11095.59961,11095.59961,330300,11009.2002,11069.65039,11069.65039,65.51
1/29/2018,11079.34961,11171.54981,241700,11075.9502,11130.40039,11130.40039,65.56
1/30/2018,11120.84961,11121.09961,228000,11033.90039,11049.65039,11049.65039,64.5
1/31/2018,11018.79981,11058.5,245900,10979.29981,11027.7002,11027.7002,64.73
2/1/2018,11044.54981,11117.34961,306200,10878.79981,11016.90039,11016.90039,65.8
2/2/2018,10938.2002,10954.9502,282700,10736.09961,10760.59961,10760.59961,65.45
2/5/2018,10604.29981,10702.75,240100,10586.79981,10666.54981,10666.54981,64.15
2/6/2018,10295.15039,10594.15039,266500,10276.29981,10498.25,10498.25,63.39
2/7/2018,10607.2002,10614,250400,10446.40039,10476.7002,10476.7002,61.79
2/8/2018,10518.5,10637.79981,232200,10479.54981,10576.84961,10576.84961,61.15
2/9/2018,10416.5,10480.2002,191600,10398.2002,10454.9502,10454.9502,59.2
2/12/2018,10518.2002,10555.5,217400,10485.40039,10539.75,10539.75,59.29
2/14/2018,10585.75,10590.54981,229200,10456.65039,10500.90039,10500.90039,60.6
2/15/2018,10537.90039,10618.09961,210600,10511.04981,10545.5,10545.5,61.34
2/16/2018,10596.2002,10612.90039,184300,10434.04981,10452.29981,10452.29981,61.68
2/20/2018,10391,10429.34961,187700,10347.65039,10360.40039,10360.40039,61.9
2/21/2018,10426,10426.09961,234100,10349.59961,10397.4502,10397.4502,61.68
2/22/2018,10354.34961,10397.54981,313600,10340.65039,10382.7002,10382.7002,62.77
2/23/2018,10408.09961,10499.09961,210600,10396.65039,10491.04981,10491.04981,63.55
2/26/2018,10526.54981,10592.9502,171900,10520.2002,10582.59961,10582.59961,63.91
2/27/2018,10615.2002,10631.65039,187500,10537.25,10554.29981,10554.29981,63.01
2/28/2018,10488.9502,10535.5,286000,10461.54981,10492.84961,10492.84961,61.64
3/1/2018,10479.9502,10525.5,176000,10447.15039,10458.34961,10458.34961,60.99
3/5/2018,10428.29981,10428.7002,194000,10323.90039,10358.84961,10358.84961,62.57
3/6/2018,10420.5,10441.34961,222900,10215.90039,10249.25,10249.25,62.6
3/7/2018,10232.9502,10243.34961,249500,10141.54981,10154.2002,10154.2002,61.15
3/8/2018,10216.25,10270.34961,226400,10146.40039,10242.65039,10242.65039,60.12
3/9/2018,10271.29981,10296.7002,186500,10211.90039,10226.84961,10226.84961,62.04
3/12/2018,10301.59961,10433.65039,216400,10295.4502,10421.40039,10421.40039,60.71
3/13/2018,10389.5,10478.59961,266700,10377.84961,10426.84961,10426.84961,60.96
3/14/2018,10393.04981,10420.34961,181400,10336.29981,10410.90039,10410.90039,61.19
3/15/2018,10405.4502,10420,173900,10346.2002,10360.15039,10360.15039,62.34
3/19/2018,10215.34961,10224.54981,210200,10075.29981,10094.25,10094.25,63.4
3/20/2018,10051.54981,10155.65039,203000,10049.09961,10124.34961,10124.34961,65.17
3/21/2018,10181.9502,10227.29981,204800,10132.9502,10155.25,10155.25,64.3
3/22/2018,10167.5,10207.84961,230500,10105.40039,10114.75,10114.75,65.88
3/26/2018,9989.150391,10143.5,262600,9958.549805,10130.65039,10130.65039,65.25
3/27/2018,10188,10207.90039,225700,10139.65039,10184.15039,10184.15039,64.38
3/28/2018,10143.59961,10158.34961,344400,10096.90039,10113.7002,10113.7002,64.94
4/2/2018,10151.65039,10220.09961,225400,10127.75,10211.79981,10211.79981,63.51
4/3/2018,10186.84961,10255.34961,205300,10171.04981,10245,10245,63.37
4/4/2018,10274.59961,10279.84961,231100,10111.29981,10128.40039,10128.40039,63.54
4/5/2018,10228.4502,10331.79981,236800,10227.4502,10325.15039,10325.15039,62.06
4/9/2018,10333.7002,10397.7002,221600,10328.5,10379.34961,10379.34961,65.51
4/10/2018,10412.90039,10424.84961,251700,10381.5,10402.25,10402.25,66.82
4/11/2018,10428.15039,10428.15039,250400,10355.59961,10417.15039,10417.15039,67.07
